price_final,model_type,model_variant_final,ext_color_final,mileage_final,age,originality_final,model_type_standardized
35000.0,5-Speed,90 Pickup,Blue,1100.0,28,Restored-Modified,standard
77000.0,5-Speed,127,Green,42253.0,37,Restored-Original,standard
99800.0,Station Wagon,90 Wagon,Blue,58125.0,28,Original & Highly Original,standard
37250.0,Hicap Pickup 5-Speed,110 Pickup - Single Cab,Gray,78914.0,34,Restored-Original,standard
81000.0,200TDI 5-Speed,110 Wagon,Black,52817.0,31,Restored-Modified,200tdi
60500.0,standard,90 Soft Top,Black,142280.0,32,Restored-Modified,standard
20000.0,Single-Cab Pickup,110 Pickup - Single Cab,Beige,33252.0,32,Restored-Original,standard
43000.0,300TDI 5-Speed,110 Hard Top,Green,152857.0,28,Restored-Modified,300tdi
50000.0,standard,90 Soft Top,Blue,55510.0,32,Restored-Original,standard
29500.0,standard,110 Wagon,White,136500.0,27,Modified,standard
132000.0,Beach Runner Sema Build,90 Soft Top,Blue,1000.0,36,Restomod & Custom,standard
132000.0,Beach Runner Sema Build,90 Soft Top,Blue,1000.0,36,Restomod & Custom,standard
33000.0,200TDI 5-Speed,90 Hard Top,Red,151615.0,30,Restored-Original,200tdi
35250.0,200TDI 5-Speed,110 Soft Top,White,142294.0,31,Restored-Original,200tdi
105500.0,Pickup 5-Speed,130,Blue,157828.0,27,Restored-Original,standard
105000.0,200TDI 5-Speed,90 Soft Top,Black,1100.0,32,Restored-Modified,200tdi
82000.0,Pickup Camper,110 Pickup - Single Cab,Black,300.0,29,Restomod & Custom,standard
55000.0,300TDI,90 Soft Top,Blue,93206.0,32,Restored-Modified,300tdi
5000.0,With 300TDI Turbodiesel,110 Wagon,Blue,206652.0,29,Restored-Original,300tdi
42000.0,300TDI 5-Speed,90 Hard Top,Green,150993.0,28,Restored-Original,300tdi
51000.0,standard,110 Wagon,Gray,43499.0,29,Restored-Original,standard
87000.0,Pickup 300TDI 5-Speed,130,Gray,162178.0,28,Restored-Original,300tdi
45000.0,standard,110 Wagon,Gold/Bronze,92000.0,32,Restored-Modified,standard
68000.0,standard,110 Wagon,White,114332.0,31,Restored-Modified,standard
70000.0,standard,110 Pickup - Double Cab,Gray,93464.0,29,Restored-Modified,standard
41000.0,300TDI 5-Speed,90 Hard Top,White,103769.0,27,Restored-Original,300tdi
37600.0,300TDI 5-Speed,90 Pickup,Red,129245.0,28,Restored-Original,300tdi
91000.0,standard,110 Wagon,Orange/Copper,241000.0,31,Restomod & Custom,standard
51000.0,standard,110 Wagon,Gray,43499.0,29,Restored-Original,standard
123000.0,4.6L 5-Speed,90 Hard Top,Black,2900.0,34,Restored-Modified,standard
149900.0,200TDI 5-Speed,110 Wagon,White,2603.0,32,Restored-Modified,200tdi
110000.0,300TDI,110 Wagon,Blue,1988.0,27,Restored-Modified,300tdi
40500.0,300TDI 5-Speed,110 Wagon,White,183304.0,28,Restored-Modified,300tdi
28000.0,standard,90 Hard Top,Gray,124400.0,36,Restored-Modified,standard
44500.0,200TDI 5-Speed,90 Hard Top,Green,3000.0,32,Restored-Original,200tdi
77000.0,300TDI 5-Speed,90 Soft Top,Red,67108.0,28,Restored-Modified,300tdi
33500.0,standard,90 Hard Top,Green,79846.0,31,Modified,standard
20000.0,Single-Cab Pickup,110 Pickup - Single Cab,Beige,33252.0,32,Restored-Original,standard
87000.0,Beach Runner,110 Soft Top,White,118682.0,32,Restored-Modified,standard
37500.0,standard,110 Wagon,Black,2547.0,35,Restored-Modified,standard
63500.0,200TDI,110 Wagon,Gray,134216.0,30,Restored-Modified,200tdi
82000.0,X,110,Gray,1700.0,3,Original & Highly Original,standard
106400.0,standard,130,Black,1198.0,30,Restored-Original,standard
116700.0,300TDI 5-Speed,90 Soft Top,Black,62758.0,27,Restored-Modified,300tdi
40000.0,200TDI 5-Speed,110 Wagon,Blue,77671.0,30,Restored-Modified,200tdi
72000.0,Land Rover Defender 110,110 Soft Top,White,101780.0,33,Restored-Original,standard
53000.0,standard,110 Wagon,Green,108600.0,27,Modified,standard
40751.0,200TDI 5-Speed,90 Hard Top,White,91342.0,30,Original & Highly Original,200tdi
50000.0,standard,90 Hard Top,Red,129445.0,28,Unable to Determine,standard
66000.0,Crew Cab,110 Wagon,Yellow,164560.0,37,Restored-Original,standard
45500.0,200TDI 5-Speed,90 Hard Top,Blue,124274.0,32,Restored-Modified,200tdi
46750.0,200TDI 5-Speed,90 Hard Top,Red,11806.0,31,Restored-Original,200tdi
70000.0,standard,110 Wagon,Red,34175.0,32,Restored-Modified,standard
115000.0,6-Speed,110 Wagon,Gray,19000.0,32,Restomod & Custom,standard
56500.0,300TDI,110 Wagon,Red,34175.0,32,Restored-Modified,300tdi
139888.0,V8 5-Speed,110 Wagon,Silver,5000.0,37,Restomod & Custom,v8
