price_final,model_type,model_variant_final,ext_color_final,mileage_final,age,originality_final
91000.0,NAS 5-Speed,90 Soft Top,Red,23000.0,29,Original & Highly Original
73000.0,#41/500,110 Wagon,White,0.0,30,Restored-Original
55000.0,standard,110 Wagon,White,72751.0,43,Restored-Modified
35000.0,200TDI,90 Hard Top,White,93889.1581,32,Restored-Original
70000.0,2.5 Turbodiesel 5-Speed,90 Soft Top,Red,102021.040377,35,Restored-Original
36500.0,300TDI 5-Speed,90 Hard Top,Green,114332.264,28,Restored-Modified
55000.0,standard,110 Wagon,Blue,47800.0,27,Restored-Modified
68000.0,NAS 5-Speed,90 Soft Top,Yellow,105000.0,29,Original & Highly Original
42000.0,5-Speed,90 Hard Top,Black,7000.0,34,Restored-Modified
125000.0,NAS,110 Wagon,White,31000.0,30,Original & Highly Original
45000.0,300TDI 5-Speed,90 Soft Top,White,101283.0,28,Restored-Original
77000.0,300TDI 5-Speed,110 Wagon,Blue,700435.0,28,Restored-Modified
70000.0,200TDI 5-Speed,90 Hard Top,Gray,81399.601,31,Restored-Modified
95000.0,NAS 5-Speed,90 Soft Top,Red,46000.0,29,Original & Highly Original
52555.0,300TDI 5-Speed,110 Wagon,Green,95069.763,26,Original & Highly Original
95500.0,2.8L Turbodiesel 6-Speed,110 Hard Top,Gray,57000.0,36,Restored-Modified
75000.0,NAS 5-Speed,90 Soft Top,Yellow,39000.0,29,Restored-Original
85000.0,200TDI 5-Speed,90 Soft Top,Gray,117439.119,29,Restored-Modified
20250.0,Diesel 5-Speed,110 Hard Top,Green,66486.697,32,Restored-Original
55500.0,NAS,90 Soft Top,White,127000.0,28,Modified
41000.0,standard,90 Hard Top,White,231586.0,29,Restored-Original
102500.0,NAS 5-Speed,90 Soft Top,Gray,611.0,29,Restored-Modified
41000.0,200TDI 5-Speed,90 Hard Top,Green,106254.0,30,Restored-Original
34000.0,300TDI hi-Cap,110 Pickup - Single Cab,Green,121788.716,27,Restored-Original
85000.0,standard,90 Hard Top,Red,284339.0,30,Restored-Original
90200.0,Land Rover Defender 90,90 Hard Top,Gray,0.0,33,Restored-Modified
94110.0,NAS,110 Wagon,White,110000.0,30,Modified
115000.0,standard,110 Wagon,Gray,0.0,29,Restomod & Custom
80000.0,200TDI 5-Speed,90 Hard Top,Gray,3000.0,32,Restored-Modified
60000.0,NAS 5-Speed,90 Soft Top,Red,109000.0,29,Original & Highly Original
40250.0,200TDI 5-Speed,90 Hard Top,Gray,51573.793,32,Modified
61000.0,2.5 Turbodiesel 5-Speed,90 Hard Top,Green,22990.727,34,Restomod & Custom
80500.0,5-Speed,90 Soft Top,Green,66000.0,29,Original & Highly Original
85000.0,300TDI 5-Speed,110 Wagon,Gray,15000093206.0,27,Restored-Modified
65000.0,standard,90 Soft Top,Gold/Bronze,73343.0,31,Restored-Modified
112200.0,NAS by Tophat,110 Wagon,Orange/Copper,0.0,30,Restomod & Custom
77500.0,NAS 5-Speed,90 Soft Top,White,118000.0,29,Original & Highly Original
35000.0,300TDI,110 Wagon,White,71462.0,28,Restored-Modified
